date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:26	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2020%20Apr%202020%2013:56:18%20GMT	https://vk.com/login.php	/home/xuser/IdeaProjects/phishex/httrack/vk.com/login.0.delayed	(from )
09:56:27	32760/32760	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:56:19%20GMT	https://vk.com/login	/home/xuser/IdeaProjects/phishex/httrack/vk.com/login.html	(from )
09:56:29	413/413	---M-Z	200	added ('OK')	text/plain	date:Mon,%2020%20Apr%202020%2013:56:20%20GMT	https://vk.com/robots.txt		(from )
09:56:30	302/302	---M--	200	added ('OK')	image/x-icon	etag:%225e9d8bda-12e%22	https://vk.com/images/icons/favicons/fav_logo.ico?6	/home/xuser/IdeaProjects/phishex/httrack/vk.com/images/icons/favicons/fav_logo1679.ico	(from https://vk.com/login)
09:56:31	12918/12918	---M--	200	added ('OK')	image/png	etag:%225e9d8bda-3276%22	https://vk.com/images/icons/pwa/apple/default.png?8	/home/xuser/IdeaProjects/phishex/httrack/vk.com/images/icons/pwa/apple/defaultc9f0.png	(from https://vk.com/login)
09:56:32	2005/2005	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Apr%202020%2013:56:24%20GMT	https://vk.com/badbrowser.php	/home/xuser/IdeaProjects/phishex/httrack/vk.com/badbrowser.html	(from https://vk.com/login)
09:56:33	353893/353893	---M-Z	200	added ('OK')	text/css	etag:%225e9d8e1b-10007%22	https://vk.com/css/al/common.css?66577870638	/home/xuser/IdeaProjects/phishex/httrack/vk.com/css/al/commonc80f.css	(from https://vk.com/login)
09:56:34	68333/68333	---M-Z	200	added ('OK')	text/css	etag:%225e9d8e1b-36e3%22	https://vk.com/css/al/base.css?1	/home/xuser/IdeaProjects/phishex/httrack/vk.com/css/al/basec4ca.css	(from https://vk.com/login)
09:56:35	4319/4319	---M-Z	200	added ('OK')	text/css	etag:%225e9d8e1b-495%22	https://vk.com/css/al/fonts_utf.css?1	/home/xuser/IdeaProjects/phishex/httrack/vk.com/css/al/fonts_utfc4ca.css	(from https://vk.com/login)
09:56:37	481301/481301	---M-Z	200	added ('OK')	text/css	etag:%225e9d8e1b-587d2%22	https://vk.com/css/al/fonts_cnt.css?7802460376	/home/xuser/IdeaProjects/phishex/httrack/vk.com/css/al/fonts_cntddcb.css	(from https://vk.com/login)
09:56:37	408/408	---M--	404	error ('Not%20Found')	text/html	etag:%225e9d8bdd-198%22	https://vk.com/GET	/home/xuser/IdeaProjects/phishex/httrack/vk.com/GET	(from https://vk.com/login)
09:56:38	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2020%20Apr%202020%2013:56:30%20GMT	https://vk.com/badbrowser_stat.php?act=track&event=	/home/xuser/IdeaProjects/phishex/httrack/vk.com/badbrowser_statc1a9.php	(from https://vk.com/login)
09:56:39	33904/33904	---M-Z	200	added ('OK')	text/css	etag:%225e9d8e1b-1a71%22	https://vk.com/css/al/login.css?29063788890	/home/xuser/IdeaProjects/phishex/httrack/vk.com/css/al/logind80e.css	(from https://vk.com/login)
09:56:40	66629/66629	---M-Z	200	added ('OK')	text/css	etag:%225e9d8e1b-2b03%22	https://vk.com/css/al/ui_common.css?18981215481	/home/xuser/IdeaProjects/phishex/httrack/vk.com/css/al/ui_common8585.css	(from https://vk.com/login)
09:56:41	85918/85918	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2020%20Apr%202020%2013:56:33%20GMT	https://vk.com/js/loader_nav1651521_3.js	/home/xuser/IdeaProjects/phishex/httrack/vk.com/js/loader_nav1651521_3.js	(from https://vk.com/login)
